id,period,source_code,source_name,source_region,source_income,source_lending,source_G8G20,destination_code,destination_name,destination_region,destination_income,destination_lending,destination_G8G20,firm,firm_type,payment instrument,access point,sending network coverage,speed actual,cc1 lcu amount,cc1 denomination amount,cc1 lcu code,cc1 lcu fee,cc1 lcu fx rate,cc1 fx margin,cc1 total cost %,cc2 lcu amount,cc2 denomination amount,cc2 lcu code,cc2 lcu fee,cc2 lcu fx rate,cc2 fx margin,cc2 total cost %,inter lcu bank fx,transparent,note1,note2,receiving network coverage,receiving method,cash pickup location,date,corridor
620160139,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,MoneyGram,Money Transfer Operator,Cash,Agent,High,Less than one hour,200,200,AUD,15,4.73135,1.26,8.76,500,500,AUD,15,4.73135,1.26,4.26,4.79172,yes,,,High,Bank account,,09/May/2016,AUSCHN
620160143,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,Ria,Money Transfer Operator,Cash,Agent,High,Same day,200,200,AUD,10,0.7,5,10,500,500,AUD,10,0.7,5,7,0.73681,yes,This RSP sends AUD and pays out USD in this corridor. Remittance recipients may incur an additional cost (not shown here) if and when converting USD to the local currency.,,High,Cash,Agent,09/May/2016,AUSCHN
620160144,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,SUPAY,Money Transfer Operator,Bank account transfer,"Agent,Call Center",High,Less than one hour,200,200,AUD,18,4.7281,1.33,10.33,500,500,AUD,18,4.7281,1.33,4.93,4.79172,yes,,,High,Cash,Agent,09/May/2016,AUSCHN
620160134,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,Commonwealth Bank,Bank,Bank account transfer,Internet,High,3-5 days,200,200,AUD,22,4.6293,3.39,14.39,500,500,AUD,22,4.6293,3.39,7.79,4.79172,yes,,,High,Bank account,,09/May/2016,AUSCHN
620160140,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,National Australia Bank (NAB),Bank,Bank account transfer,Internet,High,3-5 days,200,200,AUD,22,4.5208,5.65,16.65,500,500,AUD,22,4.5208,5.65,10.05,4.79172,yes,,,High,Bank account,,09/May/2016,AUSCHN
620160128,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,ANZ Bank,Bank,Bank account transfer,Internet,High,2 days,200,200,AUD,24,0.7024,4.67,16.67,500,500,AUD,24,0.7024,4.67,9.47,0.73681,yes,This RSP sends AUD and pays out USD in this corridor. Remittance recipients may incur an additional cost (not shown here) if and when converting USD to the local currency.,,High,Bank account,,09/May/2016,AUSCHN
620160135,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,Commonwealth Bank,Bank,Bank account transfer,"Bank branch,Call Center",High,3-5 days,200,200,AUD,30,4.6293,3.39,18.39,500,500,AUD,30,4.6293,3.39,9.39,4.79172,yes,,,High,Bank account,,09/May/2016,AUSCHN
620160130,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,Bank of China,Bank,Bank account transfer,Internet,High,3-5 days,200,200,AUD,28,4.53,5.46,19.46,500,500,AUD,28,4.53,5.46,11.06,4.79172,yes,,,High,Bank account,,09/May/2016,AUSCHN
620160141,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,National Australia Bank (NAB),Bank,Bank account transfer,"Bank branch,Call Center",High,3-5 days,200,200,AUD,30,4.5208,5.65,20.65,500,500,AUD,30,4.5208,5.65,11.65,4.79172,yes,,,High,Bank account,,09/May/2016,AUSCHN
620160129,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,ANZ Bank,Bank,Bank account transfer,"Bank branch,Call Center",High,2 days,200,200,AUD,32,0.7024,4.67,20.67,500,500,AUD,32,0.7024,4.67,11.07,0.73681,yes,This RSP sends AUD and pays out USD in this corridor. Remittance recipients may incur an additional cost (not shown here) if and when converting USD to the local currency.,,High,Bank account,,09/May/2016,AUSCHN
620160131,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,Bank of China,Bank,Bank account transfer,"Bank branch,Call Center",High,3-5 days,200,200,AUD,35,4.53,5.46,22.96,500,500,AUD,35,4.53,5.46,12.46,4.79172,yes,,,High,Bank account,,09/May/2016,AUSCHN
620160394,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,FJI,Fiji,East Asia & Pacific,Upper middle income,IBRD,..,Aussie Forex & Finance,Money Transfer Operator,Debit/credit card,Internet,High,3-5 days,200,200,AUD,5,1.547,0.54,3.04,500,500,AUD,5,1.547,0.54,1.54,1.55539,yes,,,Medium,Bank account,,11/May/2016,AUSFJI
620160154,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,FJI,Fiji,East Asia & Pacific,Upper middle income,IBRD,..,KlickEx Pacific,Money Transfer Operator,Mobile money,Mobile phone,High,Less than one hour,200,200,AUD,3,1.493,4.01,5.51,500,500,AUD,3,1.4961,3.81,4.41,1.55539,yes,,,High,Mobile wallet,,11/May/2016,AUSFJI
620160151,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,FJI,Fiji,East Asia & Pacific,Upper middle income,IBRD,..,ANZ Pacific Money Transfer Card (BPAY),Bank,Bank account transfer,"Agent,Call Center",High,3-5 days,200,200,AUD,8,1.514216642,2.65,6.65,500,500,AUD,17,1.514216642,2.65,6.05,1.55539,yes,,,Medium,Bank account,,11/May/2016,AUSFJI
620160155,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,FJI,Fiji,East Asia & Pacific,Upper middle income,IBRD,..,mHITs Remit,Money Transfer Operator,Mobile money,Internet,High,Less than one hour,200,200,AUD,5,1.4909,4.15,6.65,500,500,AUD,5,1.4909,4.15,5.15,1.55539,yes,,,High,Mobile wallet,,11/May/2016,AUSFJI
620160776,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,FJI,Fiji,East Asia & Pacific,Upper middle income,IBRD,..,WorldRemit,Money Transfer Operator,"Bank account transfer,Debit/credit card",Internet,High,Less than one hour,200,200,AUD,9.99,1.52,2.28,7.27,500,500,AUD,11.99,1.52,2.28,4.67,1.55539,yes,,,High,Mobile wallet,,11/May/2016,AUSFJI
620160153,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,FJI,Fiji,East Asia & Pacific,Upper middle income,IBRD,..,IMEX Money Transfer,Money Transfer Operator,Cash,Agent,Low,Same day,200,200,AUD,12,1.51,2.92,8.92,500,500,AUD,12,1.51,2.92,5.32,1.55539,yes,,,Medium,Cash,Agent,11/May/2016,AUSFJI
620160162,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,FJI,Fiji,East Asia & Pacific,Upper middle income,IBRD,..,Xpress Money,Money Transfer Operator,Cash,Agent,Medium,Less than one hour,200,200,AUD,13,1.51392,2.67,9.17,500,500,AUD,13,1.51392,2.67,5.27,1.55539,yes,,,Medium,Cash,Agent,11/May/2016,AUSFJI
620160156,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,FJI,Fiji,East Asia & Pacific,Upper middle income,IBRD,..,MoneyGram,Money Transfer Operator,Cash,Agent,High,Less than one hour,200,200,AUD,12,1.505815,3.19,9.19,500,500,AUD,18,1.505815,3.19,6.79,1.55539,yes,,,High,Cash,Agent,11/May/2016,AUSFJI
620160158,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,FJI,Fiji,East Asia & Pacific,Upper middle income,IBRD,..,Western Union,Money Transfer Operator,Bank account transfer,Internet,High,Less than one hour,200,200,AUD,13,1.4978,3.7,10.2,500,500,AUD,18,1.4978,3.7,7.3,1.55539,yes,,,High,Cash,Agent,11/May/2016,AUSFJI
620160159,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,FJI,Fiji,East Asia & Pacific,Upper middle income,IBRD,..,Westpac,Bank,Bank account transfer,"Bank branch,Call Center",High,2 days,200,200,AUD,10,1.4636,5.9,10.9,500,500,AUD,10,1.4636,5.9,7.9,1.55539,yes,,,Medium,Bank account,,11/May/2016,AUSFJI
620160157,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,FJI,Fiji,East Asia & Pacific,Upper middle income,IBRD,..,Western Union,Money Transfer Operator,Cash,Agent,High,Less than one hour,200,200,AUD,15,1.4978,3.7,11.2,500,500,AUD,25,1.4978,3.7,8.7,1.55539,yes,,,High,Cash,Agent,11/May/2016,AUSFJI
620160150,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,FJI,Fiji,East Asia & Pacific,Upper middle income,IBRD,..,ANZ Bank,Bank,Bank account transfer,Internet,High,2 days,200,200,AUD,18,1.5029,3.37,12.37,500,500,AUD,18,1.5029,3.37,6.97,1.55539,yes,,,Medium,Bank account,,11/May/2016,AUSFJI
620160160,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,FJI,Fiji,East Asia & Pacific,Upper middle income,IBRD,..,Westpac,Bank,Bank account transfer,Internet,High,2 days,200,200,AUD,20,1.4636,5.9,15.9,500,500,AUD,20,1.4636,5.9,9.9,1.55539,yes,,,Medium,Bank account,,11/May/2016,AUSFJI
620160149,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,FJI,Fiji,East Asia & Pacific,Upper middle income,IBRD,..,ANZ Bank,Bank,Bank account transfer,"Bank branch,Call Center",High,2 days,200,200,AUD,32,1.5029,3.37,19.37,500,500,AUD,32,1.5029,3.37,9.77,1.55539,yes,,,Medium,Bank account,,11/May/2016,AUSFJI
620160401,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,GMT Money,Money Transfer Operator,Debit/credit card,Internet,High,2 days,200,200,AUD,0,48.55,1.06,1.06,500,500,AUD,0,48.55,1.06,1.06,49.06994,yes,,,Medium,Bank account,,09/May/2016,AUSIND
620160187,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,Citibank,Bank,Bank account transfer,Internet,High,Next day,200,200,AUD,0,48.5,1.16,1.16,500,500,AUD,0,48.5,1.16,1.16,49.06994,yes,,,Medium,Bank account (same/partner bank),,09/May/2016,AUSIND
620160908,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,InstaReM,Money Transfer Operator,Debit/credit card,Internet,High,Next day,200,200,AUD,0,48.12,1.94,1.94,500,500,AUD,0,48.12,1.94,1.94,49.06994,yes,,,Medium,Bank account,,09/May/2016,AUSIND
620160201,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,money2India (ICICI Bank),Bank / Money Transfer Operator,Bank account transfer,"Bank branch,Call Center",High,2 days,200,200,AUD,2,48.47,1.22,2.22,500,500,AUD,2,48.47,1.22,1.62,49.06994,yes,,,Medium,Bank account,,09/May/2016,AUSIND
620160276,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,Orbit Remit,Money Transfer Operator,Debit/credit card,Internet,High,2 days,200,200,AUD,4,48.51831,1.12,3.12,500,500,AUD,4,48.51831,1.12,1.92,49.06994,yes,,,Medium,Bank account,,09/May/2016,AUSIND
620160700,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,Foreign Exchange Central,Money Transfer Operator,Debit/credit card,Internet,High,Next day,200,200,AUD,5,48.64,0.88,3.38,500,500,AUD,5,48.64,0.88,1.88,49.06994,yes,,,Medium,Bank account,,09/May/2016,AUSIND
620160195,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,GMT Money,Money Transfer Operator,Bank account transfer,"Agent,Call Center",High,Less than one hour,200,200,AUD,5,48.55,1.06,3.56,500,500,AUD,5,48.55,1.06,2.06,49.06994,yes,,,High,Cash,Agent,09/May/2016,AUSIND
620160197,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,GMT Money,Money Transfer Operator,Cash,"Agent,Call Center",High,2 days,200,200,AUD,5,48.55,1.06,3.56,500,500,AUD,5,48.55,1.06,2.06,49.06994,yes,,,Medium,Bank account,,09/May/2016,AUSIND
620160672,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,WorldRemit,Money Transfer Operator,"Bank account transfer,Debit/credit card",Internet,High,2 days,200,200,AUD,3.99,48.25,1.67,3.67,500,500,AUD,3.99,48.25,1.67,2.47,49.06994,yes,,via smartphone app,Medium,Bank account,,09/May/2016,AUSIND
620160183,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,Aussie Forex & Finance,Money Transfer Operator,Bank account transfer,"Agent,Call Center",High,Same day,200,200,AUD,5,48.37252,1.42,3.92,500,500,AUD,5,48.37252,1.42,2.42,49.06994,yes,,,Medium,Bank account (same/partner bank),,09/May/2016,AUSIND
620160212,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,Western Union,Money Transfer Operator,Cash,Agent,High,Less than one hour,200,200,AUD,4,48.1047,1.97,3.97,500,500,AUD,12,48.1047,1.97,4.37,49.06994,yes,,,High,Cash,Agent,09/May/2016,AUSIND
620160214,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,Western Union,Money Transfer Operator,Bank account transfer,Internet,High,Less than one hour,200,200,AUD,4,48.1047,1.97,3.97,500,500,AUD,4,48.1047,1.97,2.77,49.06994,yes,,,Medium,Bank account,,09/May/2016,AUSIND
620160206,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,Remit2India,Money Transfer Operator,Bank account transfer,Internet,High,3-5 days,200,200,AUD,6.99,48.47,1.22,4.72,500,500,AUD,6.99,48.47,1.22,2.62,49.06994,yes,,,Medium,Bank account,,09/May/2016,AUSIND
620160216,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,Xpress Money,Money Transfer Operator,Cash,Agent,Medium,Less than one hour,200,200,AUD,8,48.37252,1.42,5.42,500,500,AUD,14,48.37252,1.42,4.22,49.06994,yes,,,High,Cash,Agent,09/May/2016,AUSIND
620160202,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,MoneyGram,Money Transfer Operator,Cash,Agent,High,Less than one hour,200,200,AUD,8,48.187229,1.8,5.8,500,500,AUD,14,48.187229,1.8,4.6,49.06994,yes,,,High,Cash,Agent,09/May/2016,AUSIND
620160203,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,MoneyGram,Money Transfer Operator,Cash,Agent,High,2 days,200,200,AUD,8,48.187229,1.8,5.8,500,500,AUD,14,48.187229,1.8,4.6,49.06994,yes,,,Medium,Bank account,,09/May/2016,AUSIND
620160196,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,GMT Money,Money Transfer Operator,Cash,Agent,High,Less than one hour,200,200,AUD,10,48.55,1.06,6.06,500,500,AUD,10,48.55,1.06,3.06,49.06994,yes,,,High,Cash,Agent,09/May/2016,AUSIND
620160182,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,Aussie Forex & Finance,Money Transfer Operator,Bank account transfer,"Agent,Call Center",High,Same day,200,200,AUD,10,48.37252,1.42,6.42,500,500,AUD,10,48.37252,1.42,3.42,49.06994,yes,,,Medium,Cash,Agent,09/May/2016,AUSIND
620160657,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,Trans-Fast Worldwide Money Transfer,Money Transfer Operator,Debit/credit card,Internet,High,Next day,200,200,AUD,10,48.26,1.65,6.65,500,500,AUD,10,48.26,1.65,3.65,49.06994,yes,,,Medium,Bank account,,09/May/2016,AUSIND
620160663,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,Trans-Fast Worldwide Money Transfer,Money Transfer Operator,Debit/credit card,Internet,High,Less than one hour,200,200,AUD,10,48.26,1.65,6.65,500,500,AUD,10,47.87,2.45,4.45,49.06994,yes,,,High,Cash,Agent,09/May/2016,AUSIND
620160191,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,Fast Remit,Money Transfer Operator,Bank account transfer,Agent,High,3-5 days,200,200,AUD,10,48.2404,1.69,6.69,500,500,AUD,10,48.2404,1.69,3.69,49.06994,yes,,,Medium,Bank account,,09/May/2016,AUSIND
620160186,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,Ceylon Exchange,Money Transfer Operator,Bank account transfer,"Agent,Call Center",High,Next day,200,200,AUD,10,48.16,1.85,6.85,500,500,AUD,10,48.16,1.85,3.85,49.06994,yes,,,Medium,Bank account,,09/May/2016,AUSIND
620160211,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,TSS Worldwide Money Transfer,Money Transfer Operator,Bank account transfer,Agent,High,3-5 days,200,200,AUD,10,48.13,1.92,6.92,500,500,AUD,10,48.26,1.65,3.65,49.06994,yes,,,Medium,Bank account,,09/May/2016,AUSIND
620160405,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,Money2anywhere,Money Transfer Operator,Debit/credit card,Internet,High,3-5 days,200,200,AUD,12,48.38,1.41,7.41,500,500,AUD,12,48.38,1.41,3.81,49.06994,yes,,In this corridor all RSPs send GBP and payout in USD. Remittance recipients may incur an additional cost (not shown here) if and when converting USD to the local currency.,Medium,Bank account,,09/May/2016,AUSIND
620160192,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,FLASHremit,Money Transfer Operator,Bank account transfer,"Agent,Call Center",High,Same day,200,200,AUD,12,48.37,1.43,7.43,500,500,AUD,12,48.37,1.43,3.83,49.06994,yes,,,Medium,Bank account,,09/May/2016,AUSIND
620160184,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,Bank of Baroda,Bank,Bank account transfer,"Bank branch,Call Center",High,Same day,200,200,AUD,10,47.87,2.45,7.45,500,500,AUD,10,47.87,2.45,4.45,49.06994,yes,,,Medium,Bank account,,09/May/2016,AUSIND
620160198,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,HDFC Bank,Bank,Bank account transfer,"Bank branch,Call Center",High,3-5 days,200,200,AUD,10,47.87,2.45,7.45,500,500,AUD,10,47.87,2.45,4.45,49.06994,yes,,,Medium,Bank account (same/partner bank),,09/May/2016,AUSIND
620160208,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,State Bank of India,Bank,Bank account transfer,Internet,High,Next day,200,200,AUD,10,47.87,2.45,7.45,500,500,AUD,10,47.87,2.45,4.45,49.06994,yes,,,Medium,Bank account,,09/May/2016,AUSIND
620160205,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,PFG Money,Money Transfer Operator,Bank account transfer,"Agent,Call Center",High,2 days,200,200,AUD,12,48.11,1.96,7.96,500,500,AUD,12,48.11,1.96,4.36,49.06994,yes,,,Medium,Bank account,,09/May/2016,AUSIND
620160207,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,Ria,Money Transfer Operator,Cash,Agent,High,Less than one hour,200,200,AUD,15,48.7,0.75,8.25,500,500,AUD,15,48.7,0.75,3.75,49.06994,yes,,,High,Cash,Agent,09/May/2016,AUSIND
620160185,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,Ceylon Exchange,Money Transfer Operator,Bank account transfer,"Agent,Call Center",High,Same day,200,200,AUD,15,48.16,1.85,9.35,500,500,AUD,15,48.16,1.85,4.85,49.06994,yes,,,High,"Cash, Bank account",,09/May/2016,AUSIND
620160188,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,Citilink Finance,Money Transfer Operator,Cash,Agent,High,Same day,200,200,AUD,16.5,48.5,1.16,9.41,500,500,AUD,16.5,48.5,1.16,4.46,49.06994,yes,,,Medium,Cash,Agent,09/May/2016,AUSIND
620160213,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,IND,India,South Asia,Lower middle income,IBRD,G20,Western Union,Money Transfer Operator,Bank account transfer,Internet,High,Less than one hour,200,200,AUD,15,48.1047,1.97,9.47,500,500,AUD,15,48.1047,1.97,4.97,49.06994,yes,,,High,Cash,Agent,09/May/2016,AUSIND
